Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Oranges,7.0,587.750809251128,65887.4213988237,Military,195.916936417043,No,336.30283631309504,Yes,Male,By_16:00,0.42625360400415996,0.7831882375758141,1.59515972714871,4.91169640561566,7.58857114706188,8.48456018604338,5904.0,5.903990613296631,,4237.2983364456795,51755.93191599019,Maybe,113099.59771223199,20.9077733548402,,34.0329525759444,38589.3629114566,30.0,30-45,3.0,667.660136102902,6.0,Public_or_other,Hightech,481.21672895993,0.0,Yes
Greys,4.0,493.511241624863,63196.29106874,Foreign_Affairs,164.503747208288,No,384.163231179917,Yes,Female,After_16:00,0.970693455310538,0.375236679799855,6.59695676527917,0.32323880586773196,7.392738368362191,3.39650828856975,6660.0,3.48283029161394,474.44064463510904,4790.51360106939,53728.288296889405,Maybe,147581.388190594,21.781658445469898,153.971815838682,64.3078944878653,27235.9865927765,40.0,45_and_up,0.0,666.331637985722,6.0,Car,Industry_or_other,401.83746939226404,0.0,No
Purples,8.0,514.620432723507,68855.72010722349,Education,171.540144241169,No,401.397121424936,Yes,Male,After_16:00,0.11615549214184301,0.8988810563459991,0.8238210901618,0.12116370024159599,9.14177692495286,4.3728250521235195,9213.0,44.2233878420666,558.543769874936,5131.058753999229,65592.18016919719,No,161119.649088225,23.633530626525896,160.564621102866,34.1529519530013,29607.561230522202,100.0,30-45,2.0,849.0231814425099,16.0,Foot_or_bicycle,Services_or_Retail,612.388152825148,0.0,No
Pinks,8.0,510.619204095519,113733.11154746801,Education,170.206401365173,No,668.207015924488,No,Male,After_16:00,0.626283729914576,0.8897932907566429,5.47193730948493,4.3598340661265,9.688883456401529,3.4939250349998505,4951.0,17.724405135959397,646.087455883593,7974.24507101207,74403.91554236741,No,446500.616130709,25.4182504489116,222.875716667537,12.105199065990698,29150.4254670475,100.0,45_and_up,2.0,895.199407560806,11.0,Foot_or_bicycle,Hightech,493.799991346247,3.0,No
Purples,,782.8321705637469,89681.6446137234,Healthcare,260.94405685458196,No,343.681498995399,Yes,Male,By_16:00,0.8037921639624979,0.264872879022732,8.59393518418074,4.351075924932959,2.31773372506723,4.9935808381997004,5554.0,96.2703048717231,458.49632597657603,4353.807641907139,53276.7900032591,No,118116.97275172401,21.4125273140883,164.95041222126002,13.4081914555281,68362.744864582,80.0,45_and_up,1.0,680.808287674356,12.0,Public_or_other,Services_or_Retail,467.58688879179397,0.0,Yes
Oranges,5.0,305.867951242643,39488.36730612,Other,101.955983747548,No,387.30799169077596,Yes,Male,By_16:00,0.9069318533875049,0.9862048367504029,2.6332134893164,1.4314722782000902,0.5744650098495191,9.04326211893931,9815.0,74.6265492402017,450.109778040845,4773.29947298945,50927.0358017416,Maybe,150007.480427542,21.215790771047,184.76047225002102,61.4093923941255,10506.9786056777,50.0,45_and_up,0.0,625.003897226073,8.0,Foot_or_bicycle,Industry_or_other,362.348595640471,0.0,Yes
Oranges,2.0,102.662800527822,17044.323434968,Military,34.220933509274,No,498.067167873982,Yes,Male,After_16:00,0.82235752698034,0.368234872119501,,1.14488177001476,8.56739200418815,8.62788812723011,5182.0,70.42828653939071,343.445860812743,5667.56340036531,47249.272495500496,Maybe,248070.90371400898,18.5322923787842,156.79203297061,60.2743053808808,1215.29322375543,30.0,Below_30,3.0,604.7006388367649,7.0,Motorcycle_or_truck,Services_or_Retail,491.58529463579697,0.0,No
Browns,9.0,1002.1929450983199,104572.02146241801,Environment,334.064315032775,No,313.029607643541,Yes,Male,By_16:00,0.33500163978896996,0.628968978533521,3.14600906800479,0.7682736264541751,7.2264980059117105,0.398943389300257,7482.0,19.183978415094302,362.037674228771,3854.37142489296,43592.0717054755,No,97987.5352614694,19.0272876214339,251.153623441319,95.60434028971942,111943.03089335,90.0,45_and_up,3.0,559.4750075101099,9.0,Foot_or_bicycle,Services_or_Retail,404.676279879723,4.0,Yes
Purples,1.0,408.93602235432803,62098.710050400194,Environment,136.312007451443,No,455.563022006855,Yes,Female,By_16:00,0.799575429176912,0.09466499811969699,9.26388757303357,6.54922990128398,3.0013473914004902,9.79550705756992,7313.0,16.897441376932,495.982404493263,5547.595029055079,57400.21259533401,No,207537.667020019,22.2706624170289,79.8451479729937,6.5172799397259995,18727.2753828936,90.0,45_and_up,2.0,708.8328328045441,13.0,Motorcycle_or_truck,Student_or_Unemployed,433.78473311984396,0.0,No
Turquoises,1.0,1431.6855423794598,216494.909103513,Environment,477.22851412648697,Yes,453.650405822425,Yes,Male,After_16:00,,0.0333200546447188,3.1687049148604305,9.211173125077039,2.05180598190054,6.3988136919215295,6643.0,67.2738087596372,498.70632008574006,5533.91669839573,57377.614378027596,Yes,205798.69070285102,22.3317334769547,88.39580028139179,8.997983159497382,228234.283209501,90.0,45_and_up,0.0,706.571421533043,11.0,Public_or_other,Industry_or_other,424.74138574727004,1.0,No
Purples,7.0,242.308125221904,26369.025196795497,Social,80.769375073968,No,326.473062007066,Yes,Male,After_16:00,0.7456030396278951,0.72750853933394,4.75621083052829,2.37608831143007,8.67702004266903,9.205412720330061,5829.0,65.3589522233233,438.846718935131,4142.424057940921,51401.39344655981,No,106584.66021626901,20.948668667367198,186.90327503145198,85.7075094943866,6614.4613249133,70.0,Below_30,0.0,661.166176669047,12.0,Car,Services_or_Retail,467.11364685344597,0.0,No
Turquoises,8.0,1126.43781272144,198513.894335319,Education,375.47927090714796,Yes,528.694683612534,No,Female,After_16:00,0.5308627642225471,0.900832465616986,6.95252551697195,4.34650243958458,3.1493530119769297,7.9642917541787,3654.0,94.88109920639539,501.88217509223,6290.7111863098,60523.4628053373,Yes,279518.068480157,22.4027269566058,29.1872067517023,30.200648191385003,141370.162151871,100.0,30-45,2.0,752.0651471735181,12.0,Public_or_other,Public_Sector,495.00344245851403,0.0,No
Reds,10.0,591.889280605247,86238.9153322757,Other,197.29642686841598,No,437.10328008013903,Yes,Female,After_16:00,0.36214758479036396,0.8341326843947171,4.2945027933456,6.108484689611941,0.25022559333592703,6.7383140954189,6085.0,88.535438827239,372.00005688131404,5115.032914564021,48829.2721018532,Maybe,191059.27745681602,19.2873029965652,142.745403887713,19.526054454036103,39133.1764819125,50.0,Below_30,3.0,631.521505070452,11.0,Public_or_other,Industry_or_other,506.02225173851195,0.0,Yes
Blues,1.0,1381.8732640697199,254351.099175651,Environment,460.62442135657403,Yes,552.187611821726,No,Female,After_16:00,0.750837488099933,0.11234254552982699,8.959993950556962,0.853962313849479,4.05618814518675,4.91444454994053,4206.0,73.2232389971614,183.97718226513902,5889.83048274754,28253.893508293197,Yes,304911.158649381,13.563818867308,452.500566132659,36.273369635455296,212645.481971435,90.0,30-45,1.0,310.98364970151,12.0,Car,Public_Sector,180.370848961424,0.0,No
Purples,8.0,273.457860360334,37325.6819096392,Social,91.1526201201113,No,409.485562350872,,Female,By_16:00,0.16942287888377897,0.0642049813177437,7.75423618033528,7.91761726373807,4.1423648153431705,4.70247501274571,5519.0,19.2077522631735,339.677081608888,4774.2097867265,46610.2677228554,No,167678.42577381,18.4303304801864,188.92527352371002,54.4705320615321,8409.952774881429,70.0,30-45,1.0,617.850247817423,11.0,Foot_or_bicycle,Hightech,542.384636268673,0.0,Yes
Browns,3.0,191.57564476445998,30873.9209748713,Financial,63.85854825481999,No,483.473580571744,Yes,Female,After_16:00,0.142544497968629,0.825487912632525,6.46988415624946,5.32052226131782,6.87016151379794,5.5913327774032995,6476.0,95.0301232282072,437.88323864595804,5710.50228300936,53595.9393347067,No,233746.70311086302,20.9256598138734,81.53548605201071,81.0994802275673,4151.772733468,60.0,Below_30,3.0,667.360302693111,6.0,Motorcycle_or_truck,Public_Sector,449.83605970915,1.0,Yes
Browns,3.0,177.790504972698,28889.4275353844,Education,59.263501657566,,487.474191152459,Yes,Female,By_16:00,0.7042511231265959,0.8350630241911859,4.214949347078799,6.45377054344863,3.2965464540757203,1.6306435223668798,3321.0,26.8074145074934,419.66670191624604,5714.07531535708,52328.607205914406,No,237631.087039744,20.485768277422398,92.8590008861413,38.836649945005796,3581.42613037389,100.0,Below_30,4.0,654.017229166453,9.0,Public_or_other,Industry_or_other,455.139556653172,,No
Greys,9.0,717.40539808208,114417.998992961,Military,239.135132694027,No,478.465868665811,Yes,Female,After_16:00,0.4282660130411389,0.8423953135497869,9.957785101141779,6.33307377342135,3.0521447327919304,,3826.0,85.4733126237988,374.14210153772797,5532.942889733559,48150.0458456228,Maybe,228929.587478129,,141.739721971744,99.65352243743841,57434.746821283705,30.0,30-45,2.0,603.808346843705,9.0,Foot_or_bicycle,Student_or_Unemployed,438.467737186337,0.0,No
Purples,1.0,346.528842685951,38123.3832458005,Education,115.50961422865,No,330.045109235111,Yes,,By_16:00,0.7419937036465849,0.100213943282142,7.456480027176441,4.64047722052783,2.6151280268095403,3.4479001397267,,81.145583675243,410.968229662801,4122.38755167671,49132.63785638809,No,108929.77413001699,20.272351359987802,195.435718795284,81.91504280548541,13467.9805934803,100.0,Below_30,1.0,634.2761921062751,16.0,Public_or_other,Industry_or_other,462.80054897248704,1.0,Yes
Pinks,5.0,396.31431602260903,94396.4412297465,Education,132.10477200753598,No,714.557391040812,No,Male,After_16:00,0.0654342432972044,0.608611920848489,2.56108658853918,2.5268297083675897,0.622266398277134,5.00008270842955,,31.695003295317303,653.4402150324211,8452.45434047296,75471.8169236304,No,510592.26509105205,25.56247669989,264.505317632304,93.85604334529492,17593.7755591707,100.0,45_and_up,3.0,899.7502820537579,9.0,Car,Hightech,480.39669884099504,0.0,Yes
Browns,9.0,112.791557354524,18058.104924440402,Environment,37.5971857848412,No,480.304696946792,Yes,Female,After_16:00,0.999858394265175,0.0475883423350751,6.51536284014583,6.37395705096424,3.65394844440743,6.57626896398142,4981.0,73.5474385553971,447.112226214991,5697.271421897901,54241.2914908939,No,230692.60190915,21.1450284042134,76.6477074946168,42.418078170158,1461.14556472471,90.0,30-45,1.0,674.499593844674,8.0,Car,Public_Sector,448.136241113005,0.0,No
Whites,2.0,67.1535830074305,11267.459664693999,Healthcare,22.384527669143502,No,503.359277052155,No,Male,After_16:00,0.507747391005978,0.0869051804766059,8.3925916464068,4.94163040304556,,9.85905738314614,8604.0,12.5407109269872,473.85170767855004,5981.29618587865,57787.357017861104,No,253370.561794468,21.7681351447144,27.4742835812492,69.48656197637321,533.451606639795,80.0,45_and_up,2.0,722.935349261355,9.0,Foot_or_bicycle,Industry_or_other,492.265769290888,0.0,No
Yellows,1.0,-546.0004188671289,-50151.097834969296,Environment,-182.000139622376,Yes,275.555271215866,Yes,Male,By_16:00,0.72092757304199,0.3963428316637871,6.177760972641409,8.77403656020761,9.90005017258227,3.95725487731397,8763.0,89.76114476099609,341.510496502813,3438.57370516428,46243.9289693534,Yes,75930.7074948494,18.4800026110067,299.45355952783797,13.887072191573699,32952.0506829421,90.0,30-45,2.0,644.4508356797401,15.0,Car,Public_Sector,619.071723411244,,Yes
Purples,4.0,15.948858566511399,2378.07033144347,Environment,5.31628618883713,No,447.31796727513,Yes,Male,By_16:00,0.345322120003402,0.52912863297388,0.838281174656004,5.2217523031868,7.7012930391356305,5.40099484147504,5008.0,5.2445879671722695,422.235711069314,5317.6510948899295,54798.1034143199,No,200093.363847155,20.5483749009335,125.514553329503,60.8080582460389,43.5791850304576,90.0,30-45,3.0,716.3709168007119,15.0,Car,Student_or_Unemployed,583.253960221632,0.0,No
Greens,2.0,21.313011838821602,1921.7732530486899,Healthcare,7.10433727960721,No,270.507040616594,Yes,Male,After_16:00,0.27224776544608204,0.32509441487491103,0.809922707267106,4.77214250015095,7.29310010094196,3.2891203486360596,8655.0,12.1122854761779,487.693798067133,3680.45800230021,58568.8223824397,No,73174.0590231477,22.0837903917587,274.553805388698,87.6766542205587,67.575945462024,80.0,45_and_up,0.0,791.077271160925,14.0,Public_or_other,Student_or_Unemployed,650.204297677692,0.0,No
Browns,7.0,463.607067313796,48405.9039042814,Social,154.535689104599,No,313.234465027153,Yes,Female,By_16:00,0.729263174114749,0.6624288200400771,2.65656990697607,6.0707450588233804,0.391019959934056,7.81554761808366,6622.0,58.3474156679586,375.04545924061597,3882.43556875276,44463.7324373566,No,98115.83008084689,19.366090448012898,247.11783584319,49.8322922503576,24045.8148961378,70.0,45_and_up,2.0,567.453703137655,6.0,Public_or_other,Student_or_Unemployed,397.17868663676904,0.0,Yes
Yellows,1.0,1803.98743739073,327642.814918437,Environment,601.3291457969091,Yes,544.864351260124,No,Male,After_16:00,0.9159808582626279,0.24180631130002397,6.495558668393639,9.07820680644363,5.6120189093053305,1.77059593377635,5721.0,75.0625562155619,614.4949138975879,6677.63334039641,67898.4244159351,Yes,296877.161274116,24.789007924836103,151.211257730074,98.12504223082209,362208.070730637,90.0,45_and_up,1.0,813.534843127449,14.0,Motorcycle_or_truck,Services_or_Retail,412.005970987215,0.0,No
Oranges,5.0,262.252818509082,29626.36003336,Other,87.41760616969401,No,338.90610062977004,Yes,Male,By_16:00,0.0779802144970745,0.7690276606008409,3.1891006510704796,0.0726067554205656,2.48177306260914,9.16657151887193,4699.0,36.9392703985795,417.204569787555,4223.4701458728105,49125.3693232804,Maybe,114857.34504407599,20.4255861552993,192.692105859371,26.819655834697198,7739.25547460942,50.0,45_and_up,0.0,626.4964626450341,9.0,Car,Student_or_Unemployed,434.24347954651495,0.0,No
Browns,8.0,120.547434603591,19288.7027686101,Financial,40.1824782011969,No,480.027704414595,Yes,Male,After_16:00,0.7886051472742109,0.30770886293612393,1.80086406879127,5.5421159206889605,5.711869508959349,2.2734004026278902,4935.0,18.4591538505629,465.73769581562203,5731.7524357772,56546.903708389196,No,230426.597005546,21.5809567863805,42.839398172456704,88.17836991511291,1664.81403259086,60.0,30-45,0.0,709.067067720983,6.0,Public_or_other,Student_or_Unemployed,483.800742090927,0.0,No
Blues,1.0,1176.17720501956,119764.362497113,Healthcare,392.059068339854,Yes,305.475302495225,Yes,Male,By_16:00,0.506677649915218,0.30917491274885806,8.48569352878258,6.57524107256904,,5.511861811392009,5144.0,50.675881793722496,674.749925905671,4404.25287676359,60372.730251129404,Yes,93315.1604345492,25.975948989510897,518.5932831758599,1.71906014438719,154112.372135854,80.0,Below_30,4.0,663.90194261369,13.0,Car,Public_Sector,52.1589580981262,0.0,
Pinks,1.0,78.1754515027243,17923.2845273929,Financial,26.0584838342414,No,687.809952467047,No,Male,By_16:00,0.9517137375660241,0.360602556960657,1.9665092672221398,3.35704187629744,8.45679664518684,6.06735320296139,9299.0,23.349163774400896,636.067342809707,8150.234210289879,74078.29641259559,No,473082.530712721,25.2203755485462,,30.326692480593902,715.103063573663,60.0,Below_30,2.0,891.2446428162939,5.0,,Public_Sector,500.006078081707,0.0,Yes
Turquoises,8.0,1559.7620419229502,273902.898555262,Healthcare,519.920680640982,Yes,526.816702535437,No,Female,By_16:00,0.7680767325218771,0.342207182897255,2.80018934747204,6.947482831310481,2.79114056378603,5.40457395836711,4456.0,32.148957950994394,506.73643904030604,6281.639903434979,60839.4372021028,Yes,277535.838070311,22.510807161012803,28.4630168623945,46.621143585071,270847.434838823,80.0,Below_30,1.0,755.367033558861,12.0,Foot_or_bicycle,Hightech,493.245136338084,0.0,No
Purples,3.0,930.4718827062101,128709.57079824,Financial,310.15729423540296,No,414.98160188537,Yes,Male,After_16:00,0.871204849565402,0.8824131162837149,0.362882788758725,1.54442505678162,9.48838205076754,9.684632492717359,7638.0,47.030326002277405,448.128390015651,5046.072798885,,No,172209.729903348,21.1690432002878,100.123565965736,33.7698943447322,96517.7044616619,60.0,30-45,1.0,689.6674377608771,9.0,Foot_or_bicycle,Services_or_Retail,489.70745311650904,1.0,No
Turquoises,10.0,1474.73892582029,208447.109971612,Education,491.579641940096,Yes,424.035277679407,Yes,Female,After_16:00,0.187627126462758,0.260472489520907,4.5616058097221,5.627800445072349,8.0182634643279,5.33491854323074,5579.0,67.3736290307716,476.60260344539495,5193.55798368486,54468.1182961859,Yes,179805.916716652,21.831230003034502,130.093420956093,12.869584816508,242152.124011893,100.0,Below_30,0.0,669.852616521064,15.0,Public_or_other,Student_or_Unemployed,397.01349130453497,1.0,No
Yellows,2.0,1104.4622046978698,249876.626635008,Environment,368.154068232623,Yes,678.728413445427,No,Male,By_16:00,0.47256635432131605,0.591924106003717,6.81036601541564,9.239278165623551,4.92518104147166,1.3737235846929299,9703.0,8.3393232896924,286.98111264872,7361.246359751709,43868.2363880099,Yes,460672.259218147,16.9405168943784,293.06360943484503,68.8151642214507,135915.572024464,90.0,Below_30,2.0,529.881154631434,12.0,Motorcycle_or_truck,Student_or_Unemployed,407.45062380608596,2.0,No
Purples,6.0,666.1899480565361,75810.78891520969,Social,222.06331601884497,No,341.392672478943,Yes,Male,After_16:00,0.817633094498888,0.19065193901769797,6.821218319237231,5.37407505558804,5.933474444318559,0.6468649790622291,,67.605187674053,461.545683414265,4337.018091617961,53263.2976640237,No,116548.956822315,21.4836143005376,168.498784146555,70.4090237384662,49544.179637304405,70.0,30-45,3.0,678.573155336829,12.0,Motorcycle_or_truck,Industry_or_other,458.085546032192,1.0,No
Yellows,1.0,1344.1806696098402,264111.263813985,Social,448.06022320327907,Yes,589.454832490591,No,Male,After_16:00,0.7487575663253659,,5.19692539935932,3.6352635407820295,1.45486642839387,1.07038171729073,5359.0,31.232426548376697,331.71098479730097,,50260.896306271396,Yes,347456.99954651,18.212934546560604,213.307395094828,27.1522568771616,201216.023840175,70.0,45_and_up,1.0,655.3828776133099,11.0,Foot_or_bicycle,Industry_or_other,595.79501609336,2.0,Yes
Greens,9.0,658.6006532912149,61212.806255673204,Healthcare,,No,278.831212585846,Yes,Male,By_16:00,0.00261600594967604,0.255354008171707,9.79100724449381,3.5754085378721405,5.14198241522536,9.43993654334918,4388.0,,524.740706703457,3837.7935392653703,61702.345031071796,No,77746.845112093,22.907219532353896,269.183346153112,35.3070558048785,48424.51360838769,80.0,30-45,2.0,825.866232962042,12.0,Car,Student_or_Unemployed,651.432951340692,0.0,No
Browns,7.0,255.097237144124,41521.0764080524,Financial,85.0324123813746,No,488.297053385106,Yes,Male,After_16:00,0.7515746655408292,0.46117568411864296,7.89703397313133,5.502688267733901,5.54917776957154,3.33358434494585,9004.0,43.4677480021492,448.961120556995,5780.89277496505,54783.0868036485,No,238434.012344577,21.188702663376898,66.2872908564504,79.4222840806469,7325.54356777752,60.0,30-45,2.0,682.5718280037651,6.0,Public_or_other,Public_Sector,459.35422832791903,0.0,Yes
Purples,3.0,776.3176809619031,115439.355850307,Healthcare,258.772560320634,No,446.10354245933604,Yes,Male,After_16:00,0.525556158274412,0.584074780344963,9.83514223480597,7.56737294606864,8.94765939796343,3.65013386588544,9060.0,81.25791740603741,441.411936055111,5343.85929670359,,No,199008.370594769,21.0098057119791,84.6922864196321,96.49825764354321,67232.010535217,80.0,45_and_up,0.0,677.4295050293711,10.0,Public_or_other,Hightech,471.09681666767403,2.0,Yes
Browns,7.0,621.581764946774,63906.7937875712,Environment,207.19392164892503,No,308.439520228092,Yes,Female,By_16:00,0.7707338107284158,0.530528366798535,0.6323987711220981,7.20728979445994,7.66370210330933,9.06539718620479,7210.0,92.7677664207295,,3792.40235436005,42604.9895842561,No,95134.9376385353,18.814982754166103,263.512084199725,41.5517221204937,43146.5150899097,90.0,45_and_up,2.0,545.995684745662,8.0,Public_or_other,Services_or_Retail,393.097028574484,0.0,No
Purples,7.0,806.475685417419,123078.915672254,Environment,268.825228472473,No,457.83989981750096,Yes,Female,After_16:00,0.47247552522458097,0.95331757212989,0.942867449484766,9.22700053313747,2.8503300691954796,3.1503190682269597,7681.0,87.34607989899808,442.274353712197,5462.9477055994,54556.8101028893,No,209617.37386489898,21.0303198670918,71.6375866747528,12.8175859106705,72545.8286917498,90.0,30-45,1.0,691.4740280839461,11.0,Foot_or_bicycle,Student_or_Unemployed,495.286239522436,0.0,Yes
Browns,4.0,829.111774466743,134334.498899401,Healthcare,276.370591488914,No,486.066546283705,Yes,Male,After_16:00,0.780118587892503,0.0093764946796,9.228046042844651,4.00363102089614,9.95385971851647,3.34133713040501,9047.0,5.0538302864879405,454.88386937741404,5770.43320159187,55748.256907078496,No,236260.68741616898,21.328006690204603,50.4040404151788,2.1376896649599098,76667.0744314213,80.0,45_and_up,1.0,699.185095112878,7.0,Public_or_other,Industry_or_other,482.36591608967,0.0,No
Greys,5.0,285.012467765567,39759.8967405889,Foreign_Affairs,95.0041559218557,No,418.50692061611295,Yes,Male,By_16:00,0.8247441188432281,0.465121810091659,9.72008891636506,,5.7687487592920705,3.90774685656652,4155.0,81.99991439469159,499.35918326417396,5183.78757268948,56827.2476325946,Maybe,175148.042603582,22.3463460830663,111.081895738067,13.8558863196522,9130.793798346129,40.0,30-45,3.0,,8.0,Foot_or_bicycle,Industry_or_other,424.517187868989,1.0,No
Browns,7.0,158.365419161468,25437.954660534302,Social,52.78847305382279,No,481.88464619156304,Yes,Male,After_16:00,0.325651982333511,0.6959618835244329,9.180349686648698,3.5945197357796097,7.972824648022651,8.95605906145647,8757.0,82.3364006588235,454.796838222007,5728.44013835964,56044.142692906906,No,232212.812235168,21.325966290464002,,55.9621135471389,2849.411360408,70.0,45_and_up,2.0,706.817720103522,6.0,Car,Public_Sector,498.624202169117,0.0,No
